message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '(?<![<>])(<S>[Ll]e<\/S> (?:<[ANPY][^>]*>[aeiouAEIOU\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}\x{c1}\x{c9}\x{cd}\x{d3}\x{da}][^<]*<\/[ANPY]>))(?![<>])' at offset 54. Insufficient hexadecimal digits.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Aa])<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(h[Oo]cht)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+([Dd]\x{e9}ag)<\/[A-DF-Z]>' at offset 116. Insufficient hexadecimal digits.
Invalid pattern '(?m)(?P<symbol>_ZN[0-9]+.*E)' at offset 7. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[^\p{Alpha}]' at offset 11. Unknown property 'Alpha'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+(D\x{e9})<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(Domhnaigh)<\/[A-DF-Z]>' at offset 27. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '$case_re\Q$tag_text_search\E' at offset 10. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?P<number>(\d+([,\.]\d+)?(:\d+)?))(?P<unit>[hms])' at offset 3. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '14(?<_1>#)[\da-dA-D]++' at offset 22. Nested quantifier '+'.
Invalid pattern '\Q$REGEX_TO_STRING_POSTFIX\E$' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
"Invalid pattern '^(?u:,)' at offset 4. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '^.*?(?P<version>(\d|\.)+).*?$' at offset 7. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '[Pers|Ta].*+' at offset 12. Nested quantifier '+'.
Invalid pattern '[\x{201C}-\x{201F}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '[^\u0009\u000A\u000D\u0020-\uD7FF\uE000-\uFFFD\x{10000}-\x{10FFFF}]' at offset 49. Insufficient hexadecimal digits.
"Invalid pattern '(<N pl=""n"" gnt=""n"" gnd=""f"">g?Ch?ill<\/N> <E[^>]*><X>Mant\x{e1}in<\/X><\/E>)' at offset 59. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '(?P<property>[\w-]+):\s*(?P<value>[\w-]+);' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<Family>\d)\d\d' at offset 4. Unrecognized grouping construct.
Invalid pattern '(?:repeats\s+)?(?:each|every|all)\s+other\s+((?:(?:1|2|3|4|5)(?:st|nd|rd|th)?\s+' at offset 80. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^(?P<namever>(?P<name>.+?)-(?P<ver>\d.*?))(-(?P<build>\d.*?))?
     -(?P<pyver>[a-z].+?)-(?P<abi>.+?)-(?P<plat>.+?)(\.whl|\.dist-info)$' at offset 4. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><S>[\x{d3}\x{f3}]<\/S> (?:<P[^>]*>[^<]+<\/P>)<\/E> (?:<[DS][^>]*>[Aa]<\/[DS]>) (?:<N[^>]*pl=""n"" gnt=""n""[^>]*>[^<]+<\/N>))' at offset 16. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^\s*+ @[\w\.]++ .*+ [
]++ \s*+ def\b' at offset 5. Nested quantifier '+'."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '<title>[^]*?<\/title>' at offset 21. Unterminated [] set.
Invalid pattern '^\QNote: including file:' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '\p{CWU}' at offset 7. Unknown property 'CWU'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '([^ a-zA-Z0-9\.\\\-\/\_]+)' at offset 23. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'https?://(?:www.)?gorillavid.in/(?:embed-)?(?P<id>\w+)(?:\-\d+x\d+)?.html' at offset 46. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$options->{strip_leading}\E' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<T>[Aa]n<\/T> <N pl=""n"" gnt=""n"" gnd=""m"">C\x{f3}sta<\/N> <N pl=""n"" gnt=""n"">R\x{ed}ce<\/N>)(?![<>])' at offset 54. Insufficient hexadecimal digits."
Invalid pattern '(?P<schema>.+)://.*' at offset 3. Unrecognized grouping construct.
Invalid pattern '^[+-]?0x\h+$' at offset 10. Unrecognized escape sequence \\h.
Invalid pattern '\x{0698}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '^theme\_(.*?)$' at offset 8. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Ff]aoi)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(dh\x{f3})<\/[A-DF-Z]>' at offset 72. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '([^A-Z\x{c1}\x{c9}\x{cd}\x{d3}\x{da}a-z\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]taesp)\.' at offset 9. Insufficient hexadecimal digits.
Invalid pattern '\|(\_[^\|]+)\|([\ ]+)\|' at offset 5. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<Y>U\x{ed}<\/Y> <Y>(?:[BCDFGMPT][^Hh']|S[lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bhF)[^<]*<\/Y>)(?![<>])' at offset 17. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern 'data-zdfplayer-jsb=[""'](?P<json>{.+?})[""']' at offset 26. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '(?U)(^|\\\\|[^\\])~~(.*[^\\])~~' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$source_dir' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(T|V|G)_([0-9\_]+)(_[spo])?\.([a-z\_]+)' at offset 16. Unrecognized escape sequence \\_.
Invalid pattern '::\Q$to\E\z' at offset 4. Unrecognized escape sequence \\Q.
Invalid pattern '\s*\[\s*(?P<name>\S.*\S)\s*\]\s*' at offset 11. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\s*\Q${list_end}\E\s*$' at offset 6. Unrecognized escape sequence \\Q.
Invalid pattern '^\Q$parm\E$' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '
    ^
    (?P<major>(?:0|[1-9][0-9]*))
    \.
    (?P<minor>(?:0|[1-9][0-9]*))
    \.
    (?P<patch>(?:0|[1-9][0-9]*))
    (\-(?P<prerelease>
        (?:0|[1-9A-Za-z-][0-9A-Za-z-]*)
        (\.(?:0|[1-9A-Za-z-][0-9A-Za-z-]*))*
    ))?
    (\+(?P<build>
        [0-9A-Za-z-]+
        (\.[0-9A-Za-z-]+)*
    ))?
    $
    ' at offset 14. Unrecognized grouping construct."
Invalid pattern '^\Q$f\E$' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '^\s*map\s+(?P<map>\d+)%\s+reduce\s+(?P<reduce>\d+)%\s*$' at offset 13. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<Y>'mh\x{e1}in<\/Y>)(?![<>])' at offset 19. Insufficient hexadecimal digits.
"Invalid pattern '
[ ]*
  Nr\. [ ]+ (?P<nr>\d+) [ ]+
  Spin [ ]+ (?P<spin>\d+) [ ]+
  K-Point [ ]+ (?P<a>\S+) [ ]+ (?P<b>\S+) [ ]+ (?P<c>\S+) [ ]*
  \n
[ ]* (?P<npoints>\d+) [ ]* \n
(?P<values>
  [\s\S]*?(?=\n.*?[ ] Nr|$)  # match everything until next 'Nr.' or EOL
)
' at offset 21. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[\p{Cntrl}&&[^\r\n\t]]' at offset 10. Unknown property 'Cntrl'.
"Invalid pattern '^\\[([0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4}:[0-9A-Fa-f]{1,4})\\]:(\\d{1,5})$' at offset 141. Too many )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '([\x0-\x1f])' at offset 6. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '([a-zA-Z0-9\-\_\.\/]+)' at offset 15. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern ')+}{} unless $path eq "".' at offset 1. Too many )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern ' \N{GREEK CAPITAL LETTER IOTA}        ' at offset 3. Unrecognized escape sequence \\N.
Object reference not set to an instance of an object.
Invalid pattern 'api\_key=\w+' at offset 5. Unrecognized escape sequence \\_.
"Invalid pattern '^(=={0,5})[ \t]+(' at offset 17. Not enough )'s."
Invalid pattern '^\s\s(?P<key>\S*)\s*(?P<value>.*)' at offset 8. Unrecognized grouping construct.
Invalid pattern '^insert\s.*into\s+\Q$word\E$' at offset 20. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^s?([0-9]+)\_' at offset 13. Unrecognized escape sequence \\_.
"Invalid pattern '(?x)\G
	(?!	$
	|	[ ]{,3}>.
	|	(?<_1>[ ]{4}|\t)
	|	[#]{1,6}\s*+
	|	[ ]{,3}(?<marker>[-*_])(?<_2>[ ]{,2}\k<marker>){2,}[ \t]*+$
	)' at offset 62. Nested quantifier '+'."
Invalid pattern '(?<![<>])((?:<A[^>]*>[Ff]\x{f3}ill<\/A>))(?![<>])' at offset 28. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '\[quote:([0-9]*)[;]{0,1}([A-Za-z0-9\-\_\.\#\ ]*)\]' at offset 39. Unrecognized escape sequence \\_."
Invalid pattern '^(?u:one)' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '<align \d+px>[\s\n\x{a0}\x{b7}]+<\/align>' at offset 21. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern '30(?<_1>#)[\da-tA-T]++' at offset 22. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?:the |and |with |but |,| )+(.*?) (' at offset 36. Not enough )'s."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<R>[Nn]\x{ed}os<\/R> <E[^>]*><A pl=""n"" gnt=""y"" gnd=""f"">[Ff]h?usa<\/A><\/E>)' at offset 11. Insufficient hexadecimal digits."
Invalid pattern '^[a-z0-9\_\-\.\/]+$' at offset 10. Unrecognized escape sequence \\_.
Invalid pattern '^[\p{Punct}\p{Space}\p{Latin}]*$' at offset 11. Unknown property 'Punct'.
Invalid pattern '(?P<block>[-]{3}.*?[-]{3})' at offset 3. Unrecognized grouping construct.
"Invalid pattern '\b(?P<ip>(?:[0-9]{1,3}\.){3}[0-9]{1,3})\b' at offset 5. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern 'could not convert (?P<type>\w+)' at offset 21. Unrecognized grouping construct.
Invalid pattern '^#define __ARM_NR_(?P<syscall>[a-z0-9_]+)\s+\(__ARM_NR_BASE\+(?P<number>\d+)\)' at offset 21. Unrecognized grouping construct.
Invalid pattern '(?.)*??' at offset 3. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '(?: |^)\Q$name2\E(?: |$)' at offset 9. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<message>' at offset 11. Not enough )'s.
Invalid pattern '[^\s' at offset 4. Unterminated [] set.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?P<trad>.+?) (?P<simp>.+?) \[(?P<pinyin>.+?)\] /(?P<defs>.+)/' at offset 3. Unrecognized grouping construct.
"Invalid pattern '((?:<[\/A-DF-Z][^>]*>)+a<\/[A-DF-Z]> )<B><Z><N pl=""n"" gnt=""n"" gnd=""m"".>(?:<V p=""y""[^>]+>)+<\/Z>([^<]+)<\/B>( (?:<[\/A-DF-Z][^>]*>)+s\x{e9}<\/[A-DF-Z]>)' at offset 135. Insufficient hexadecimal digits."
"Invalid pattern '(\d+{1,2})%' at offset 5. Nested quantifier '{'."
Invalid pattern 'hdbref__(\w+?)__$CLASS\__' at offset 24. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(^(' at offset 3. Not enough )'s.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(#|0x|0X)(\p{IsXDigit})+$' at offset 23. Unknown property 'IsXDigit'.
"Invalid pattern '???(?<DETAIL>.+?)??(?<AMOUNT>\d+)?' at offset 1. Quantifier {x,y} following nothing."
Invalid pattern '^CFe(?P<campos>\d{44})$' at offset 7. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[a-zA-Z][a-zA-Z0-9\.\_]*' at offset 22. Unrecognized escape sequence \\_.
Invalid pattern '\.\Q$profile\E(?:-\d+)?\z' at offset 4. Unrecognized escape sequence \\Q.
Invalid pattern '[\P{IsPrint}]' at offset 12. Unknown property 'IsPrint'.
Invalid pattern '\x{2022}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Ii])<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(nd\x{e1}ir\x{ed}re)<\/[A-DF-Z]>' at offset 69. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '^[A-Za-z0-9][\w\(\)\+\,\-\.\=\@\;\$\""\_\!\*\']*$' at offset 39. Unrecognized escape sequence \\_."
Invalid pattern '(?:``|%x' at offset 8. Not enough )'s.
Invalid pattern '^(?P<type>deb|deb-src)\s+(\[\s*(?P<options>.+\S)?\s*\]\s+)?(?P<uri>\S+)\s+(?P<distribution>\S+)(\s+(?P<components>.+\S))?\s*$' at offset 4. Unrecognized grouping construct.
"Invalid pattern '(<D>(?:[Dd]\x{e1}r?|(?:[Ff]aoi|[Ii]|[Ll]e|[Tt]r\x{ed})n(?:a|\x{e1}r))<\/D> )<B><Z>((?:<[^>]+>)*<N pl=""."" gnt=""y""[^>]*>(?:<[^>]+>)*)<\/Z>([^<]+)<\/B>()' at offset 14. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Invalid pattern '^\s*\Q$op\E' at offset 6. Unrecognized escape sequence \\Q.
"Invalid pattern '(?<![<>])(<V cop=""y"">[Ii]s<\/V> <A pl=""n"" gnt=""y"" gnd=""f"">mh?\x{f3}ire<\/A>)(?![<>])' at offset 64. Insufficient hexadecimal digits."
Invalid pattern '^(.*?)\R' at offset 8. Unrecognized escape sequence \\R.
Object reference not set to an instance of an object.
"Invalid pattern '(<meta[^>]*charset=[""']?(?P<charset>[^""'>]*)[""']?[ ]?[/]?[>])' at offset 27. Unrecognized grouping construct."
"Invalid pattern '
    ^ >
    (?P<names> \S+ ) \s+
    (?P<descriptions> [^\n]* ) \n
    (?P<alignments> [^>]* )
    \s*
    ' at offset 16. Unrecognized grouping construct."
"Invalid pattern '(.{@{[ $spanstart - ($loc->location_type eq 'IN-BETWEEN' ? 0 : 1) ]}},)
                                                          (.{@{[ $spanend - $spanstart + ($loc->location_type eq 'IN-BETWEEN' ? -1 : 1) ]}},)
                                                          (.*)
                                                         ' at offset 27. [x-y] range in reverse order."
Object reference not set to an instance of an object.
Invalid pattern '[^\x{0009}\x{000a}\x{000d}\x{001b}\x{0020}-\x{D7FF}\x{E000}-\x{FFFD}]+' at offset 5. Insufficient hexadecimal digits.
Invalid pattern '\{(?<part>[a-zA-Z0-9\_\-]+)\}' at offset 22. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern ':[^]*' at offset 5. Unterminated [] set.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[\x{00DD}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^(\p{Letter}${chartypes{notcaron}},*)${chartypes{all}},+(${chartypes{notcaron}},*)$' at offset 12. Unknown property 'Letter'."
Object reference not set to an instance of an object.
"Invalid pattern 'data-href=""(?P<href>https://embed.tumblr.com/embed/post/\w+/\w+)""' at offset 14. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\s+\Q$sep\E\s+' at offset 5. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<A pl=""n"" gnt=""n"">[Aa] h[Oo]cht<\/A> <E[^>]*>(?:<N[^>]*>(?:n(?:-[aeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|[AEIOU\x{c1}\x{c9}\x{cd}\x{d3}\x{da}])|d[Tt]|g[Cc]|b[Pp]|m[Bb]|n[DdGg]|bh[fF])[^<]*<\/N>)<\/E>)' at offset 74. Insufficient hexadecimal digits."
Invalid pattern '\s\(([a-zA-Z0-9\:\-\_]+)\)$' at offset 21. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '(?=\p{Upper})' at offset 12. Unknown property 'Upper'.
Object reference not set to an instance of an object.
Invalid pattern '(?P<family>\{\w+(\w|\s)*\}|\w+)\s?(?P<size>-?\d+)?\s?(?P<modifiers>\{\w+(\w|\s)*\}|\w+)?' at offset 3. Unrecognized grouping construct.
Invalid pattern '^[^\:]++(\:[^\:]++)*$' at offset 8. Nested quantifier '+'.
Invalid pattern '^\x{200b}[^\x{200b}]' at offset 4. Insufficient hexadecimal digits.
Invalid pattern '^(?:/[^\h]+)+$' at offset 9. Unrecognized escape sequence \\h.
Invalid pattern '^\s+inet\s+(?P<address>[0-9.]+)\s+netmask\s+(?P<netmask>[.x0-9a-f]+)$' at offset 14. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\Q$alta{'pre'}\E(.*)\Q$alta{'pst'}\E' at offset 2. Unrecognized escape sequence \\Q.
Invalid pattern '(?<![<>])(<S>[Aa]g<\/S> (?:<N[^>]*>(?:ceannach|cur|d\x{ed}ol|dul|foghlaim|\x{ed}oc|iompar|oscailt|r\x{e1}|roinnt|scr\x{ed}obh|sol\x{e1}thar|teacht)<\/N>) (?:<P[^>]*>(?:[Mm]uid|[Ss]inn)<\/P>))(?![<>])' at offset 55. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\x{0110}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern '()<B><Z>(?:<[^>]+>)+<\/Z>([Mm]h\x{ed}le)<\/B>()' at offset 34. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(entre|ent\.|ent)\s+(?P<start>.+)\s+(et)\s+(?P<stop>.+)' at offset 23. Unrecognized grouping construct.
Invalid pattern '^\Q$tagname\E$' at offset 3. Unrecognized escape sequence \\Q.
Invalid pattern '\Q$bundle_filename\E$' at offset 2. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^([^\_]+)\_(.*)$' at offset 6. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\p{Emoji}\uFE0F|\p{Emoji_Presentation}|\p{Emoji_Modifier_Base}\p{Emoji_Modifier}?' at offset 9. Unknown property 'Emoji'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^duplicity-full\.(?P<time>.*?)\.vol(?P<num>[0-9]+)\.difftar(?P<partial>(\.part))?($|\.)' at offset 20. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern ' FEED\[<=>[^\]*\].*feed gen-server crashed' at offset 42. Unterminated [] set.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$d\E[\\](.*)$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '""(?:[^""\\]++|\\.)*+""|'(?:[^'\\]++|\\.)*+'|\b(?:NULL|TRUE|FALSE|DEFAULT|DIV|AND|OR|XOR|NOT|IN|IS|BETWEEN|R?LIKE|REGEXP|SOUNDS\s+LIKE|MATCH|AS|CASE|WHEN|THEN|END|ASC|DESC|BINARY)\b|\bCOLLATE\s+\w++|\bUSING\s+\w++|TRIM\s*\((?:BOTH|LEADING|TRAILING)|`[^`]*+`|(\d*[a-z_]\w*\b)(?!\s*\()' at offset 12. Nested quantifier '+'."
Object reference not set to an instance of an object.
Invalid pattern '[\_\|\$].' at offset 3. Unrecognized escape sequence \\_.
Invalid pattern '^get(?P<name>.+)$' at offset 7. Unrecognized grouping construct.
Invalid pattern 'profile\_private\_info' at offset 9. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?x)
	(?<ft>
	map\s*<\s*\g<ft>\s*,\s*\g<ft>\s*> |
	set\s*<\s*\g<ft>\s*> |
	list\s*<\s*\g<ft>\s*>\s*(?<_1>cpp_type(?!\S))? |
	[a-zA-Z_][\w.]*
	)[ \t]*
	(?:(?<_2>[a-zA-Z_][\w.]*)[ \t]*)? # identifier
	' at offset 26. Unrecognized escape sequence \\g."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(<)([a-zA-Z0-9:]++)(?=[^>]*></\2>)' at offset 18. Nested quantifier '+'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\QDBIx::Class::' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern ':0x\h+' at offset 5. Unrecognized escape sequence \\h.
"Invalid pattern '
          (
            \A [[:punct:]]*     # start of title
            | [:.;?!][ ]+       # or of subsentence
            | [ ]['""' at offset 134. Unterminated [] set."
Object reference not set to an instance of an object.
Invalid pattern '[a-z0-9!' at offset 8. Unterminated [] set.
Object reference not set to an instance of an object.
"Invalid pattern '[\s,\|]++' at offset 9. Nested quantifier '+'."
Object reference not set to an instance of an object.
"Invalid pattern '&,&(?P<p>[.!?])' at offset 6. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '(\=)(' at offset 5. Not enough )'s.
"Invalid pattern '(?P<fence>^(?:~{3,}|`{3,}))[ ]*(?P<lang>[a-z0-9_+-]*)(?P<linenums>#)?[ ]*\n(?P<code>.*?)(?<=\n)(?P=fence)[ ]*$' at offset 3. Unrecognized grouping construct."
Invalid pattern '(?:[\x00-\x7F]|[\xC0-\xDF][\x80-\xBF]|[\xE0-\xEF][\x80-\xBF]{2}|[\xF0-\xF7][\x80-\xBF]{3})*+' at offset 92. Nested quantifier '+'.
"Invalid pattern '(?<![<>])(<[A-DF-Z][^>]*>h?[Oo]cht<\/[A-DF-Z]> (?:<N[^>]*>[^<]+<\/N>) <N pl=""n"" gnt=""n"">[Dd]h?\x{e9}ag<\/N> (?:<A[^>]*>(?:[BbCcDdFfGgMmPpTt][^Hh']|[Ss][lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bh[Ff])[^<]*<\/A>))(?![<>])' at offset 97. Insufficient hexadecimal digits."
Invalid pattern '[^\-\.\pL\pN\s]+' at offset 9. Malformed \\p{X} character escape.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+(d'Fhianna)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(F\x{e1}il)<\/[A-DF-Z]>' at offset 73. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '.*TORNADO DAMAGE THREAT\.\.\.(?P<damage>CONSIDERABLE|SIGNIFICANT|CATASTROPHIC)' at offset 32. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><S>[Ff]aoi<\/S> (?:<P[^>]*>[^<]+<\/P>)<\/E> <R>[Ff]\x{e9}in<\/R> (?:<[DS][^>]*>[Aa]<\/[DS]>) (?:<N[^>]*pl=""n"" gnt=""n""[^>]*>[^<]+<\/N>))' at offset 63. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">[Dd]h?\x{e1}<\/A> (?:<N[^>]*>[^<]+<\/N>) (?:<A[^>]*>(?:[BbCcDdFfGgMmPpTt][^Hh']|[Ss][lnraeiou\x{e1}\x{e9}\x{ed}\x{f3}\x{fa}]|bh[Ff])[^<]*<\/A>))(?![<>])' at offset 37. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern 'lib(.*)(?:\.\Q$Config{dlext}\E|\Q$Config{_a}\E)' at offset 14. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
